datetime,temp (K),feels_like,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,clouds_all,id_weatrher,main_weatrher,description_weatrher,icon_weatrher,rain_1h,wind_gust
1670605200.0,299.16,299.16,1010.0,94.0,299.16,299.16,1.03,0.0,40.0,802,Clouds,scattered clouds,03n,,
1670608800.0,299.16,299.16,1009.0,94.0,299.16,299.16,1.03,0.0,40.0,802,Clouds,scattered clouds,03n,,
1670612400.0,298.16,299.33,1009.0,100.0,298.16,298.16,1.03,0.0,40.0,802,Clouds,scattered clouds,03n,,
1670616000.0,298.16,298.88,1008.0,83.0,298.16,298.16,1.03,20.0,40.0,802,Clouds,scattered clouds,03n,,
1670619600.0,298.16,298.88,1008.0,83.0,298.16,298.16,1.03,50.0,40.0,802,Clouds,scattered clouds,03n,,
1670623200.0,297.16,297.91,1008.0,88.0,297.16,297.16,1.54,60.0,40.0,802,Clouds,scattered clouds,03n,,
1670626800.0,297.16,298.07,1008.0,94.0,297.16,297.16,1.54,70.0,40.0,802,Clouds,scattered clouds,03d,,
1670630400.0,297.16,298.07,1009.0,94.0,297.16,297.16,0.0,0.0,40.0,802,Clouds,scattered clouds,03d,,
1670634000.0,300.16,303.2,1009.0,83.0,300.16,300.16,1.03,340.0,20.0,801,Clouds,few clouds,02d,,
1670637600.0,301.16,305.75,1010.0,83.0,301.16,301.16,1.03,0.0,20.0,801,Clouds,few clouds,02d,,
1670641200.0,302.16,307.7,1010.0,79.0,302.16,302.16,0.51,0.0,20.0,801,Clouds,few clouds,02d,,
1670644800.0,303.16,309.22,1010.0,74.0,303.16,303.16,0.0,0.0,40.0,802,Clouds,scattered clouds,03d,,
1670648400.0,304.16,310.78,1009.0,70.0,304.16,304.16,1.54,0.0,75.0,803,Clouds,broken clouds,04d,,
1670652000.0,305.16,309.65,1008.0,58.0,305.16,305.16,1.03,0.0,75.0,803,Clouds,broken clouds,04d,,
1670655600.0,305.16,310.87,1007.0,62.0,305.16,305.16,2.06,290.0,40.0,802,Clouds,scattered clouds,03d,,
1670659200.0,303.16,308.21,1006.0,70.0,303.16,303.16,3.6,190.0,40.0,802,Clouds,scattered clouds,03d,,
1670662800.0,302.16,307.7,1006.0,79.0,302.16,302.16,4.12,210.0,40.0,802,Clouds,scattered clouds,03d,,
1670666400.0,301.16,305.75,1007.0,83.0,301.16,301.16,3.6,210.0,40.0,802,Clouds,scattered clouds,03d,,
1670670000.0,301.16,304.97,1008.0,78.0,301.16,301.16,4.12,200.0,20.0,801,Clouds,few clouds,02n,,
1670673600.0,301.16,304.97,1009.0,78.0,301.16,301.16,4.12,200.0,20.0,801,Clouds,few clouds,02n,,
1670677200.0,300.16,303.2,1009.0,83.0,300.16,300.16,3.6,200.0,20.0,801,Clouds,few clouds,02n,,
1670680800.0,300.16,303.81,1010.0,89.0,300.16,300.16,2.57,180.0,20.0,801,Clouds,few clouds,02n,,
1670684400.0,300.16,303.81,1010.0,89.0,300.16,300.16,2.06,170.0,20.0,801,Clouds,few clouds,02n,,
1670688000.0,299.16,299.16,1010.0,94.0,299.16,299.16,2.06,120.0,20.0,801,Clouds,few clouds,02n,,
1670691600.0,299.16,299.16,1010.0,94.0,299.16,299.16,2.06,110.0,20.0,801,Clouds,few clouds,02n,,
1670695200.0,299.16,299.16,1010.0,89.0,299.16,299.16,2.57,110.0,40.0,802,Clouds,scattered clouds,03n,,
1670698800.0,299.16,299.16,1010.0,89.0,299.16,299.16,1.03,0.0,40.0,802,Clouds,scattered clouds,03n,,
1670702400.0,299.16,299.16,1009.0,89.0,299.16,299.16,2.57,120.0,40.0,802,Clouds,scattered clouds,03n,,
1670706000.0,297.16,298.23,1009.0,100.0,297.16,297.16,1.54,70.0,40.0,802,Clouds,scattered clouds,03n,,
1670709600.0,297.16,298.23,1009.0,100.0,297.16,297.16,1.03,70.0,40.0,802,Clouds,scattered clouds,03n,,
1670713200.0,297.16,298.23,1009.0,100.0,297.16,297.16,1.54,60.0,40.0,802,Clouds,scattered clouds,03d,,
