datetime,temp (K),feels_like,pressure,humidity,temp_min,temp_max,wind_speed,wind_deg,clouds_all,id_weather,main_weather,description_weather,icon_weather
2022-12-14 17:00:00,298.16,298.62,1011,73,298.16,298.16,3.09,60,20,801,Clouds,few clouds,02n
2022-12-14 18:00:00,298.16,298.62,1010,73,298.16,298.16,2.06,30,40,802,Clouds,scattered clouds,03n
2022-12-14 19:00:00,297.16,297.78,1010,83,297.16,297.16,1.54,20,40,802,Clouds,scattered clouds,03n
2022-12-14 20:00:00,296.16,296.81,1009,88,296.16,296.16,1.54,320,40,802,Clouds,scattered clouds,03n
2022-12-14 21:00:00,296.16,296.81,1009,88,296.16,296.16,1.03,320,40,802,Clouds,scattered clouds,03n
2022-12-14 22:00:00,296.16,296.81,1009,88,296.16,296.16,0.0,0,40,802,Clouds,scattered clouds,03n
2022-12-14 23:00:00,295.16,295.87,1009,94,295.16,295.16,1.54,0,40,802,Clouds,scattered clouds,03n
2022-12-15 00:00:00,295.16,295.87,1010,94,295.16,295.16,1.03,70,40,802,Clouds,scattered clouds,03d
2022-12-15 01:00:00,298.16,298.75,1011,78,298.16,298.16,2.06,40,0,800,Clear,clear sky,01d
2022-12-15 02:00:00,299.16,299.16,1011,78,299.16,299.16,1.54,0,0,800,Clear,clear sky,01d
2022-12-15 03:00:00,301.16,304.39,1011,74,301.16,301.16,1.54,0,0,800,Clear,clear sky,01d
2022-12-15 04:00:00,303.16,307.28,1011,66,303.16,303.16,0.51,0,20,801,Clouds,few clouds,02d
2022-12-15 05:00:00,304.16,306.83,1010,55,304.16,304.16,1.54,0,20,801,Clouds,few clouds,02d
2022-12-15 06:00:00,304.16,305.98,1009,51,304.16,304.16,1.03,0,40,802,Clouds,scattered clouds,03d
2022-12-15 07:00:00,304.16,307.53,1007,58,304.16,304.16,1.54,0,40,802,Clouds,scattered clouds,03d
2022-12-15 08:00:00,305.16,307.06,1007,48,305.16,305.16,2.06,290,40,802,Clouds,scattered clouds,03d
2022-12-15 09:00:00,304.16,306.83,1006,55,304.16,304.16,0.51,0,75,803,Clouds,broken clouds,04d
2022-12-15 10:00:00,303.16,306.41,1007,62,303.16,303.16,1.54,300,75,803,Clouds,broken clouds,04d
2022-12-15 11:00:00,301.16,304.97,1007,78,301.16,301.16,1.54,0,40,802,Clouds,scattered clouds,03n
2022-12-15 12:00:00,301.16,304.97,1008,78,301.16,301.16,1.54,0,40,802,Clouds,scattered clouds,03n
2022-12-15 13:00:00,301.16,305.75,1009,83,301.16,301.16,2.06,210,40,802,Clouds,scattered clouds,03n
2022-12-15 14:00:00,301.16,305.75,1009,83,301.16,301.16,2.06,210,40,802,Clouds,scattered clouds,03n
2022-12-15 15:00:00,300.16,303.81,1009,89,300.16,300.16,2.06,180,40,802,Clouds,scattered clouds,03n
2022-12-15 16:00:00,300.16,303.81,1009,89,300.16,300.16,1.54,0,40,802,Clouds,scattered clouds,03n
2022-12-15 17:00:00,300.16,303.81,1009,89,300.16,300.16,2.06,210,40,802,Clouds,scattered clouds,03n
2022-12-15 18:00:00,300.16,303.81,1009,89,300.16,300.16,2.57,190,40,802,Clouds,scattered clouds,03n
2022-12-15 19:00:00,300.16,303.81,1008,89,300.16,300.16,2.57,180,40,802,Clouds,scattered clouds,03n
2022-12-15 20:00:00,300.16,303.81,1008,89,300.16,300.16,1.03,180,40,802,Clouds,scattered clouds,03n
2022-12-15 21:00:00,299.16,299.16,1008,94,299.16,299.16,1.03,230,40,802,Clouds,scattered clouds,03n
2022-12-15 22:00:00,298.16,299.33,1008,100,298.16,298.16,0.0,0,40,802,Clouds,scattered clouds,03n
2022-12-15 23:00:00,298.16,299.17,1008,94,298.16,298.16,1.03,0,40,802,Clouds,scattered clouds,03n
2022-12-16 00:00:00,299.16,299.16,1009,94,299.16,299.16,2.06,230,40,802,Clouds,scattered clouds,03d
2022-12-16 01:00:00,300.16,303.81,1010,89,300.16,300.16,1.03,0,75,803,Clouds,broken clouds,04d
2022-12-16 02:00:00,300.16,303.81,1011,89,300.16,300.16,1.54,0,40,701,Mist,mist,50d
2022-12-16 03:00:00,302.16,307.7,1011,79,302.16,302.16,1.54,0,40,701,Mist,mist,50d
2022-12-16 04:00:00,303.16,309.22,1010,74,303.16,303.16,1.54,70,40,802,Clouds,scattered clouds,03d
2022-12-16 05:00:00,305.16,310.87,1009,62,305.16,305.16,2.57,20,40,802,Clouds,scattered clouds,03d
2022-12-16 06:00:00,306.16,310.99,1008,55,306.16,306.16,1.54,0,40,802,Clouds,scattered clouds,03d
2022-12-16 07:00:00,305.16,309.65,1007,58,305.16,305.16,3.09,80,40,802,Clouds,scattered clouds,03d
2022-12-16 08:00:00,305.16,309.65,1006,58,305.16,305.16,3.6,70,40,802,Clouds,scattered clouds,03d
2022-12-16 09:00:00,305.16,309.65,1006,58,305.16,305.16,3.6,60,75,803,Clouds,broken clouds,04d
2022-12-16 10:00:00,305.16,309.65,1006,58,305.16,305.16,3.09,80,75,803,Clouds,broken clouds,04d
